@RELATION zoo

@ATTRIBUTE nombre 		{terra-cerdo,antílope,lubina,oso,jabalí,búfalo,novillo,carpa,bagre,cávido,guepardo,gallina,cacho,almeja,cangrejo,cigala,cuervo,ciervo,cazón,delfín,paloma,pato,elefante,flamenco,pulga,rana,mega-murciélago,jirafa,mosquito,cabra,gorila,gaviota,eglefino,hámster,liebre,águila,arenque,abeja,mosca,kiwi,chinita,cogujada,leopardo,león,langosta,lince,visón,topo,mangosta,polilla,gallipato,pulpo,zarigüeya,órice,avestruz,periquito,pingüino,faisán,lucio,piraña,crótalo,ornitorrinco,turón,poni,marsopa,puma,minino,mapache,reno,ñandú,escorpión,caballo-marino,foca,león-marino,hidroserpiente,medusa,rayador,págalo,lución,caracol,lenguado,gorrión,ardilla,asteroideos,mantarraya,cisne,termita,sapo,tortuga,tuátara,atún,vampiro,campañol,buitre,ualabí,avispa,lobo,gusano,chochín}
@ATTRIBUTE peludo 		{false,true}
@ATTRIBUTE emplumado 	{false,true}
@ATTRIBUTE ovíparo 		{false,true}
@ATTRIBUTE lechero 		{false,true}
@ATTRIBUTE volador 		{false,true}
@ATTRIBUTE acuático 	{false,true}
@ATTRIBUTE depredador 	{false,true}
@ATTRIBUTE dentado 		{false,true}
@ATTRIBUTE vertebrado 	{false,true}
@ATTRIBUTE venenoso 	{false,true}
@ATTRIBUTE aletado 		{false,true}
@ATTRIBUTE 2_patas 		{false,true}
@ATTRIBUTE 4_patas 		{false,true}
@ATTRIBUTE 6_patas 		{false,true}
@ATTRIBUTE encolado 	{false,true}
@ATTRIBUTE doméstico 	{false,true}
@ATTRIBUTE tipo 		{Mamífero,Ave,Reptil,Pez,Anfibio,Insecto,Molusco,Crustáceo,Arácnido,Celenterados,Equinodermos,Anélidos}

@DATA
leopardo,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
león,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
langosta,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,Crustáceo
lince,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
visón,true,false,false,true,false,true,true,true,true,false,false,false,true,false,true,false,Mamífero
topo,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
mangosta,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
polilla,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,Insecto
gallipato,false,false,true,false,false,true,true,true,true,false,false,false,true,false,true,false,Anfibio
pulpo,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,Celenterados
zarigüeya,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
órice,true,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,Mamífero
avestruz,false,true,true,false,false,false,false,false,true,false,false,true,false,false,true,false,Ave
periquito,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,true,Ave
pingüino,false,true,true,false,false,true,true,false,true,false,false,true,false,false,true,false,Ave
faisán,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,Ave
lucio,false,false,true,false,false,true,true,true,true,false,true,false,false,false,true,false,Pez
piraña,false,false,true,false,false,true,true,true,true,false,true,false,false,false,true,false,Pez
crótalo,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,false,Reptil
ornitorrinco,true,false,true,true,false,true,true,false,true,false,false,false,true,false,true,false,Mamífero
turón,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
poni,true,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,Mamífero
marsopa,false,false,false,true,false,true,true,true,true,false,true,false,false,false,true,false,Mamífero
puma,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
minino,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,true,Mamífero
mapache,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
reno,true,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,Mamífero
ñandú,false,true,true,false,false,false,true,false,true,false,false,true,false,false,true,false,Ave
escorpión,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,Arácnido
caballo-marino,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,Pez
foca,true,false,false,true,false,true,true,true,true,false,true,false,false,false,false,false,Mamífero
león-marino,true,false,false,true,false,true,true,true,true,false,true,true,false,false,true,false,Mamífero
hidroserpiente,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,Reptil
medusa,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,Celenterados
rayador,false,true,true,false,true,true,true,false,true,false,false,true,false,false,true,false,Ave
págalo,false,true,true,false,true,true,true,false,true,false,false,true,false,false,true,false,Ave
lución,false,false,true,false,false,false,true,true,true,false,false,false,false,false,true,false,Reptil
caracol,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Molusco
lenguado,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,Pez
gorrión,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,Ave
ardilla,true,false,false,true,false,false,false,true,true,false,false,true,false,false,true,false,Mamífero
asteroideos,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,Equinodermos
mantarraya,false,false,true,false,false,true,true,true,true,true,true,false,false,false,true,false,Pez
cisne,false,true,true,false,true,true,false,false,true,false,false,true,false,false,true,false,Ave
termita,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,Insecto
sapo,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,false,Anfibio
tortuga,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,Reptil
tuátara,false,false,true,false,false,false,true,true,true,false,false,false,true,false,true,false,Reptil
atún,false,false,true,false,false,true,true,true,true,false,true,false,false,false,true,false,Pez
vampiro,true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,Mamífero
campañol,true,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,Mamífero
buitre,false,true,true,false,true,false,true,false,true,false,false,true,false,false,true,false,Ave
ualabí,true,false,false,true,false,false,false,true,true,false,false,true,false,false,true,false,Mamífero
avispa,true,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,Insecto
lobo,true,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,Mamífero
gusano,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Anélidos
chochín,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,Ave
